"TIME","WideBPF","Vin"
0.009281717784,-4.67311,-4.70035
0.009316854324,-4.23484,-4.24316
0.009351990865,-3.6117,-3.60053
0.009387127406,-2.83094,-2.80053
0.009422263946,-1.92667,-1.87814
0.009457400487,-0.938417,-0.873671
0.009492537027,0.0906315,0.168986
0.009527673568,1.1155,1.20426
0.009562810109,2.0914,2.1869
0.009597946649,2.97567,3.07396
0.00963308319,3.72967,3.82668
0.00966821973,4.32045,4.41215
0.009703356271,4.72219,4.80479
0.009738492812,4.91733,4.98743
0.009773629352,4.89733,4.9521
0.009808765893,4.66308,4.70035
0.009843902433,4.22481,4.24316
0.009879038974,3.60168,3.60053
0.009914175515,2.82091,2.80053
0.009949312055,1.91664,1.87814
0.009984448596,0.92839,0.873671
0.01001958514,-0.100658,-0.168986
0.01005472168,-1.12553,-1.20426
0.01008985822,-2.10142,-2.1869
0.01012499476,-2.9857,-3.07396
0.0101601313,-3.7397,-3.82668
0.01019526784,-4.33048,-4.41215
0.01023040438,-4.73221,-4.80479
0.01026554092,-4.92734,-4.98743
0.01030067746,-4.90735,-4.9521
0.010335814,-4.6731,-4.70035
0.01037095054,-4.23483,-4.24316
0.01040608708,-3.61169,-3.60053
0.01044122362,-2.83093,-2.80053
0.01047636016,-1.92666,-1.87814
0.0105114967,-0.938409,-0.873671
0.01054663325,0.0906393,0.168986
0.01058176979,1.11551,1.20426
0.01061690633,2.0914,2.1869
0.01065204287,2.97568,3.07396
0.01068717941,3.72968,3.82668
0.01072231595,4.32046,4.41215
0.01075745249,4.7222,4.80479
0.01079258903,4.91733,4.98743
0.01082772557,4.89734,4.9521
0.01086286211,4.66308,4.70035
0.01089799865,4.22481,4.24316
0.01093313519,3.60168,3.60053
0.01096827173,2.82092,2.80053
0.01100340827,1.91665,1.87814
0.01103854481,0.928394,0.873671
0.01107368135,-0.100655,-0.168986
0.01110881789,-1.12552,-1.20426
0.01114395444,-2.10142,-2.1869
0.01117909098,-2.98569,-3.07396
0.01121422752,-3.73969,-3.82668
0.01124936406,-4.33047,-4.41215
0.0112845006,-4.73221,-4.80479
0.01131963714,-4.92734,-4.98743
0.01135477368,-4.90735,-4.9521
0.01138991022,-4.67309,-4.70035
0.01142504676,-4.23483,-4.24316
0.0114601833,-3.61169,-3.60053
0.01149531984,-2.83093,-2.80053
0.01153045638,-1.92666,-1.87814
0.01156559292,-0.938408,-0.873671
0.01160072946,0.0906399,0.168986
0.011635866,1.11551,1.20426
0.01167100254,2.0914,2.1869
0.01170613908,2.97568,3.07396
0.01174127563,3.72968,3.82668
0.01177641217,4.32046,4.41215
0.01181154871,4.7222,4.80479
0.01184668525,4.91733,4.98743
0.01188182179,4.89734,4.9521
0.01191695833,4.66308,4.70035
0.01195209487,4.22481,4.24316
0.01198723141,3.60168,3.60053
0.01202236795,2.82092,2.80053
0.01205750449,1.91665,1.87814
0.01209264103,0.928393,0.873671
0.01212777757,-0.100655,-0.168986
0.01216291411,-1.12552,-1.20426
0.01219805065,-2.10142,-2.1869
0.01223318719,-2.98569,-3.07396
