TIME,Bessel_2,butter_2,Cheby_2,Vin
0.001265096425,0.0663313,0.0364703,-0.0200683,-4.06282
0.001268429759,0.0711291,0.0402501,-0.0171825,-4.57996
0.001271763092,0.0725915,0.0419861,-0.0153268,-4.89695
0.001275096425,0.070655,0.0416047,-0.0145589,-4.99991
0.001278429759,0.0654043,0.0391249,-0.0148889,-4.88435
0.001281763092,0.0570692,0.0346571,-0.0162789,-4.55532
0.001285096425,0.0460142,0.0283988,-0.0186446,-4.02721
0.001288429759,0.0327225,0.0206256,-0.021859,-3.32308
0.001291763092,0.0177754,0.0116793,-0.0257579,-2.47372
0.001295096425,0.00182624,0.00195287,-0.0301471,-1.51625
0.001298429759,-0.0144277,-0.00812658,-0.0348111,-0.492506
0.001301763092,-0.0302758,-0.0181166,-0.0395221,0.55276
0.001305096425,-0.0450254,-0.0275786,-0.0440506,1.57387
0.001308429759,-0.0580315,-0.0360972,-0.0481746,2.52619
0.001311763092,-0.0687256,-0.0432983,-0.05169,3.3681
0.001315096425,-0.0766401,-0.0488654,-0.0544193,4.06282
0.001318429759,-0.081429,-0.0525533,-0.0562193,4.57996
0.001321763092,-0.0828827,-0.0541991,-0.0569875,4.89695
0.001325096425,-0.0809377,-0.0537293,-0.0566662,4.99991
0.001328429759,-0.0756788,-0.0511626,-0.0552457,4.88435
0.001331763092,-0.0673355,-0.0466097,-0.0527642,4.55532
0.001335096425,-0.0562726,-0.0402678,-0.0493061,4.02721
0.001338429759,-0.0429732,-0.0324127,-0.0449989,3.32308
0.001341763092,-0.0280185,-0.0233861,-0.0400069,2.47372
0.001345096425,-0.0120619,-0.013581,-0.0345244,1.51625
0.001348429759,0.00419923,-0.00342446,-0.0287675,0.492506
0.001351763092,0.0200544,0.00664105,-0.0229639,-0.55276
0.001355096425,0.0348109,0.016177,-0.0173436,-1.57387
0.001358429759,0.0478237,0.0247681,-0.0121287,-2.52619
0.001361763092,0.0585244,0.03204,-0.00752349,-3.3681
0.001365096425,0.0664453,0.0376764,-0.00370582,-4.06282
0.001368429759,0.0712405,0.0414321,-0.000819074,-4.57996
0.001371763092,0.0727003,0.0431443,0.00103392,-4.89695
0.001375096425,0.0707613,0.0427393,0.00179546,-4.99991
0.001378429759,0.0655081,0.040236,0.00145544,-4.88435
0.001381763092,0.0571705,0.035745,5.18467E-05,-4.55532
0.001385096425,0.046113,0.0294636,-0.00233096,-4.02721
0.001388429759,0.032819,0.0216676,-0.00556591,-3.32308
0.001391763092,0.0178695,0.0126986,-0.00948879,-2.47372
0.001395096425,0.00191803,0.00294981,-0.0139054,-1.51625
0.001398429759,-0.0143382,-0.00715182,-0.0186002,-0.492506
0.001401763092,-0.0301885,-0.0171638,-0.0233453,0.55276
0.001405096425,-0.0449402,-0.0266475,-0.0279111,1.57387
0.001408429759,-0.0579485,-0.0351876,-0.0320756,2.52619
0.001411763092,-0.0686447,-0.04241,-0.0356347,3.3681
0.001415096425,-0.0765613,-0.047998,-0.0384109,4.06282
0.001418429759,-0.0813522,-0.0517067,-0.0402608,4.57996
